index a delta_a b delta_b
0 0.0084 0.0016 0.9713 0.0027
1 0.0217 0.0021 0.9337 0.0035
2 0.0183 0.0077 0.9271 0.0130
3 0.0502 0.0033 0.8484 0.0055
4 0.0438 0.0041 0.8551 0.0069
5 0.0581 0.0036 0.8148 0.0061
6 0.0655 0.0047 0.7996 0.0079
7 0.0816 0.0036 0.7666 0.0060
8 0.0910 0.0037 0.7293 0.0062
0 0.0084 0.0016 0.9713 0.0027
1 0.0217 0.0021 0.9337 0.0035
2 0.0183 0.0077 0.9271 0.0130
3 0.0502 0.0033 0.8484 0.0055
4 0.0438 0.0041 0.8551 0.0069
5 0.0581 0.0036 0.8148 0.0061
6 0.0655 0.0047 0.7996 0.0079
7 0.0816 0.0036 0.7666 0.0060
8 0.0910 0.0037 0.7293 0.0062
